Query_Doc@Source_Doc,Query_Sentence,Source_Sentence,Cosine_Similarity_Score
Sport_and_Leisure.docx@AllSports.docx,"contents will be examined through objecting criteria such as clicks received, number of times shared or reported by users, as well as other interactive feedback means.","contents will be examined through objecting criteria such as clicks received, number of times shared or reported by users, as well as other interactive feedback means.",1.000001192
Sport_and_Leisure.docx@AllSports.docx,"it also helps participants manage their own accounts, as well as use of payment for a wide range of apps and consumer scenarios across the platform.","it also helps participants manage their own accounts, as well as use of payment for a wide range of apps and consumer scenarios across the platform.",1.000000954
Skale.docx@Lunyr.docx,any such offer or solicitation would only be made by a confidential offering memorandum and in accordance with applicable securities and other laws.,any such offer or solicitation would only be made by a confidential offering memorandum and in accordance with applicable securities and other laws.,1.000000954
PIVX.docx@ZEON.docx,promotes staking by increasing its reward payment portion when masternode count is high and thus maintaining a high level of network security.,promotes staking by increasing its reward payment portion when masternode count is high and thus maintaining a high level of network security.,1.000000954
GreenPower.docx@BitShares.docx,a block producer verifies incoming transactions against a hard-coded protocol and bundles them into a single block that is added to the existing blockchain.,a block producer verifies incoming transactions against a hard-coded protocol and bundles them into a single block that is added to the existing blockchain.,1.000000715
PIVX.docx@ZEON.docx,the participating nodes receive an amount of blocks proportional to their stake per set period as a form of reward.,the participating nodes receive an amount of blocks proportional to their stake per set period as a form of reward.,1.000000715
Crypterium.docx@NAGA.docx,the refund will be issued in the original form of payment to the same digital wallet or bank account where the funds were transferred from.,the refund will be issued in the original form of payment to the same digital wallet or bank account where the funds were transferred from.,1.000000715
Sport_and_Leisure.docx@AllSports.docx,ip asset distribution platform (primary market): a platform to first release the ip assets and distribute them through the form of additional ip token.,ip asset distribution platform (primary market): a platform to first release the ip assets and distribute them through the form of additional ip token.,1.000000596
PowerLedger.docx@NoLimitCoin.docx,"any plans, projections or forecasts mentioned in this paper may not be achieved due to multiple risk factors including without limitation defects in technology developments, legal or regulatory exposure, market volatility, sector volatility, corporate actions, or the unavailability of complete and accurate information.","any plans, projections or forecasts mentioned in this paper may not be achieved due to multiple risk factors including without limitation defects in technology developments, legal or regulatory exposure, market volatility, sector volatility, corporate actions, or the unavailability of complete and accurate information.",1.000000596
Sport_and_Leisure.docx@AllSports.docx,"with the help of smart contracts and token systems, it offers both convenient payment and settlement and application development agreement for developers, and it is planned that the ecosystem will support sports information and community open platforms, sports ip asset trading and promoting platforms, prediction entertainment platforms, application open platforms etc.","with the help of smart contracts and token systems, it offers both convenient payment and settlement and application development agreement for developers, and it is planned that the ecosystem will support sports information and community open platforms, sports ip asset trading and promoting platforms, prediction entertainment platforms, application open platforms etc.",1.000000477
Verge.docx@ColossusXT.docx,"both allow anonymous access to online content, make use of a p2p-style routing structure, and both operate using layered encryption.","both allow anonymous access to online content, make use of a p2p-style routing structure, and both operate using layered encryption.",1.000000477
Sport_and_Leisure.docx@AllSports.docx,"the higher the degree of demand is, the higher the value of ip assets; the faster and wider the value delivers, the higher the commercial efficiency of ip assets.","the higher the degree of demand is, the higher the value of ip assets; the faster and wider the value delivers, the higher the commercial efficiency of ip assets.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,"the related department has said that by 2020, the global online betting market is expected to grow rapidly at an annual rate of 11% after investigation and analysis.","the related department has said that by 2020, the global online betting market is expected to grow rapidly at an annual rate of 11% after investigation and analysis.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,"the contributions in the token sale will be held by the foundation (or its affiliate) after the token sale, and contributors will have no economic or legal right over or beneficial interest in these contributions or the assets of that entity after the token sale.","the contributions in the token sale will be held by the foundation (or its affiliate) after the token sale, and contributors will have no economic or legal right over or beneficial interest in these contributions or the assets of that entity after the token sale.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,"the market volume or user base for sports prediction is very large, which provides a strong economic base and broad application prospects for this service.","the market volume or user base for sports prediction is very large, which provides a strong economic base and broad application prospects for this service.",1.000000358
Sport_and_Leisure.docx@AllSports.docx,"risk control committee:
research and formulate risk control strategies, develop risk control standards, review overall operational risks, convene risk review meetings for projects and reveal the outcomes of reviews.","risk control committee:
research and formulate risk control strategies, develop risk control standards, review overall operational risks, convene risk review meetings for projects and reveal the outcomes of reviews.",1.000000358
Unibright.docx@Traxia.docx,it does not constitute or relate in any way nor should it be considered as an offering of securities in any jurisdiction.,it does not constitute or relate in any way nor should it be considered as an offering of securities in any jurisdiction.,1.000000238
Unibright.docx@Datum.docx,it does not constitute or relate in any way nor should it be considered as an offering of securities in any jurisdiction.,it does not constitute or relate in any way nor should it be considered as an offering of securities in any jurisdiction.,1.000000238
Sport_and_Leisure.docx@AllSports.docx,"further, these ecosystem partners may achieve their aim of value transfer and token consumption through sports ip asset trading and promoting platforms, prediction entertainment platforms and application open platforms.","further, these ecosystem partners may achieve their aim of value transfer and token consumption through sports ip asset trading and promoting platforms, prediction entertainment platforms and application open platforms.",1.000000238
Silverway.docx@INS.docx,"in the event of any conflicts or inconsistencies between such translations and the official english language white paper, the provisions of the english language original document shall prevail.","in the event of any conflicts or inconsistencies between such translations and the official english language white paper, the provisions of the english language original document shall prevail.",1.000000238
GreenPower.docx@BitShares.docx,"in the latter case, multiple parties are connected with each other in a way that incoming transactions are forwarded to every other connected participant.","in the latter case, multiple parties are connected with each other in a way that incoming transactions are forwarded to every other connected participant.",1.000000238
Traxia.docx@Datum.docx,it does not constitute or relate in any way nor should it be considered as an offering of securities in any jurisdiction.,it does not constitute or relate in any way nor should it be considered as an offering of securities in any jurisdiction.,1.000000238
Sport_and_Leisure.docx@AllSports.docx,"these processes would require an open and transparent pricing system designed for various aspects such as content supplement, interactive supplement and service consumption.","these processes would require an open and transparent pricing system designed for various aspects such as content supplement, interactive supplement and service consumption.",1.000000119
PowerLedger.docx@NoLimitCoin.docx,"this paper is not directed to, or intended for distribution to or use by, any person or entity who is a citizen or resident of or located in any state, country or other jurisdiction where such distribution, publication, availability or use would be contrary to law or regulation.","this paper is not directed to, or intended for distribution to or use by, any person or entity who is a citizen or resident of or located in any state, country or other jurisdiction where such distribution, publication, availability or use would be contrary to law or regulation.",1.000000119
Kyber.docx@Gifto.docx,"he continues to champion decentralisation and trustless properties of the blockchain with kybernetwork, taking inspiration and developing value for the community.","he continues to champion decentralisation and trustless properties of the blockchain with kybernetwork, taking inspiration and developing value for the community.",1.000000119
Sport_and_Leisure.docx@AllSports.docx,"users' demands for information contents and forms are rich and varied, which makes the cost of meeting needs is very high.","users' demands for information contents and forms are rich and varied, which makes the cost of meeting needs is very high.",1
Sport_and_Leisure.docx@AllSports.docx,"of games, application, media) (cp) to obtain information for ip transaction and business value at the same time as well.","of games, application, media) (cp) to obtain information for ip transaction and business value at the same time as well.",1
Sport_and_Leisure.docx@AllSports.docx,"top ips such as cristiano ronaldo, roberto baggio and inter milan have signed and gained access into the ip asset trading platform.","top ips such as cristiano ronaldo, roberto baggio and inter milan have signed and gained access into the ip asset trading platform.",1
