Unnamed: 0,key,query,source,score
2227,Sport_and_Leisure.docx@AllSports.docx,"contents will be examined through objecting criteria such as clicks received, number of times shared or reported by users, as well as other interactive feedback means.","contents will be examined through objecting criteria such as clicks received, number of times shared or reported by users, as well as other interactive feedback means.",1.000001192
2277,Sport_and_Leisure.docx@AllSports.docx,"it also helps participants manage their own accounts, as well as use of payment for a wide range of apps and consumer scenarios across the platform.","it also helps participants manage their own accounts, as well as use of payment for a wide range of apps and consumer scenarios across the platform.",1.000000954
2235,Sport_and_Leisure.docx@AllSports.docx,ip asset distribution platform (primary market): a platform to first release the ip assets and distribute them through the form of additional ip token.,ip asset distribution platform (primary market): a platform to first release the ip assets and distribute them through the form of additional ip token.,1.000000596
2139,Sport_and_Leisure.docx@AllSports.docx,"with the help of smart contracts and token systems, it offers both convenient payment and settlement and application development agreement for developers, and it is planned that the ecosystem will support sports information and community open platforms, sports ip asset trading and promoting platforms, prediction entertainment platforms, application open platforms etc.","with the help of smart contracts and token systems, it offers both convenient payment and settlement and application development agreement for developers, and it is planned that the ecosystem will support sports information and community open platforms, sports ip asset trading and promoting platforms, prediction entertainment platforms, application open platforms etc.",1.000000477
2294,Sport_and_Leisure.docx@AllSports.docx,"risk control committee:
research and formulate risk control strategies, develop risk control standards, review overall operational risks, convene risk review meetings for projects and reveal the outcomes of reviews.","risk control committee:
research and formulate risk control strategies, develop risk control standards, review overall operational risks, convene risk review meetings for projects and reveal the outcomes of reviews.",1.000000358
2260,Sport_and_Leisure.docx@AllSports.docx,"the market volume or user base for sports prediction is very large, which provides a strong economic base and broad application prospects for this service.","the market volume or user base for sports prediction is very large, which provides a strong economic base and broad application prospects for this service.",1.000000358
2219,Sport_and_Leisure.docx@AllSports.docx,"the contributions in the token sale will be held by the foundation (or its affiliate) after the token sale, and contributors will have no economic or legal right over or beneficial interest in these contributions or the assets of that entity after the token sale.","the contributions in the token sale will be held by the foundation (or its affiliate) after the token sale, and contributors will have no economic or legal right over or beneficial interest in these contributions or the assets of that entity after the token sale.",1.000000358
2165,Sport_and_Leisure.docx@AllSports.docx,"the related department has said that by 2020, the global online betting market is expected to grow rapidly at an annual rate of 11% after investigation and analysis.","the related department has said that by 2020, the global online betting market is expected to grow rapidly at an annual rate of 11% after investigation and analysis.",1.000000358
2160,Sport_and_Leisure.docx@AllSports.docx,"the higher the degree of demand is, the higher the value of ip assets; the faster and wider the value delivers, the higher the commercial efficiency of ip assets.","the higher the degree of demand is, the higher the value of ip assets; the faster and wider the value delivers, the higher the commercial efficiency of ip assets.",1.000000358
2141,Sport_and_Leisure.docx@AllSports.docx,"further, these ecosystem partners may achieve their aim of value transfer and token consumption through sports ip asset trading and promoting platforms, prediction entertainment platforms and application open platforms.","further, these ecosystem partners may achieve their aim of value transfer and token consumption through sports ip asset trading and promoting platforms, prediction entertainment platforms and application open platforms.",1.000000238
2222,Sport_and_Leisure.docx@AllSports.docx,"these processes would require an open and transparent pricing system designed for various aspects such as content supplement, interactive supplement and service consumption.","these processes would require an open and transparent pricing system designed for various aspects such as content supplement, interactive supplement and service consumption.",1.000000119
2286,Sport_and_Leisure.docx@AllSports.docx,"top ips such as cristiano ronaldo, roberto baggio and inter milan have signed and gained access into the ip asset trading platform.","top ips such as cristiano ronaldo, roberto baggio and inter milan have signed and gained access into the ip asset trading platform.",1
2182,Sport_and_Leisure.docx@AllSports.docx,"of games, application, media) (cp) to obtain information for ip transaction and business value at the same time as well.","of games, application, media) (cp) to obtain information for ip transaction and business value at the same time as well.",1
2172,Sport_and_Leisure.docx@AllSports.docx,"users' demands for information contents and forms are rich and varied, which makes the cost of meeting needs is very high.","users' demands for information contents and forms are rich and varied, which makes the cost of meeting needs is very high.",1
2299,Sport_and_Leisure.docx@AllSports.docx,"this incentive will be released over four years – one quarter will be released in the first year, and one quarter will be released each year thereafter.","this incentive will be released over four years – one quarter will be released in the first year, and one quarter will be released each year thereafter.",0.99999994
2173,Sport_and_Leisure.docx@AllSports.docx,"except for the real iconic characters, users need to create their own image from 0 to 1 in each community, which will lead to the slow integration of new people into the community and community growth.","except for the real iconic characters, users need to create their own image from 0 to 1 in each community, which will lead to the slow integration of new people into the community and community growth.",0.999999881
2273,Sport_and_Leisure.docx@AllSports.docx,"this allows people around the world to overcome the geographical barriers and use their fragmented time anytime, anywhere to participate.","this allows people around the world to overcome the geographical barriers and use their fragmented time anytime, anywhere to participate.",0.999999642
2238,Sport_and_Leisure.docx@AllSports.docx,"the total number of each ip token is fixed, while the proportion of the initial distribution of shares cannot be too much nor too little.","the total number of each ip token is fixed, while the proportion of the initial distribution of shares cannot be too much nor too little.",0.999999642
2188,Sport_and_Leisure.docx@AllSports.docx,"fans do not share in the rise in the asset value of ip assets, while ip assets do not drive fans to create value quickly.","fans do not share in the rise in the asset value of ip assets, while ip assets do not drive fans to create value quickly.",0.999999583
2151,Sport_and_Leisure.docx@AllSports.docx,"with the development and growth of internet, especially of mobile internet, sports industry has been massively migrating from traditional channels to mobile internet and expanded continuously through the mobile internet.","with the development and growth of internet, especially of mobile internet, sports industry has been massively migrating from traditional channels to mobile internet and expanded continuously through the mobile internet.",0.999999523
2187,Sport_and_Leisure.docx@AllSports.docx,"the value of sporting ip assets is largely determined by fans and consumers, but there is a chasm between assets and fans which is that there is no link between the actions of fans and the value of the sporting ip asset.","the value of sporting ip assets is largely determined by fans and consumers, but there is a chasm between assets and fans which is that there is no link between the actions of fans and the value of the sporting ip asset.",0.999999464
2271,Sport_and_Leisure.docx@AllSports.docx,"encryption protection: wallet address (representing participants), digital tokens and other blockchain data are the encryption features that can effectively protect the information security of all participants, enhancing the reputation of the platform and improving the service level of the platform.","encryption protection: wallet address (representing participants), digital tokens and other blockchain data are the encryption features that can effectively protect the information security of all participants, enhancing the reputation of the platform and improving the service level of the platform.",0.999999404
2183,Sport_and_Leisure.docx@AllSports.docx,"sports ip builds a primary market by its own owners or brokers, but sports ip lacks enough resources to build a secondary market.","sports ip builds a primary market by its own owners or brokers, but sports ip lacks sufficient resources to build a secondary market.",0.998435259
2230,Sport_and_Leisure.docx@AllSports.docx,"sports ip asset trading platform
sports ip asset trading platform connects the sports ip asset owners, supporters, fans, content providers to fulfil the integration of industry resources, the delivering of values and the promotion of the sports industry development as well as evolution.","sports ip asset trading platform

sports ip asset trading platform connects the sports ip asset owners, supporters, fans, content providers to fulfil the integration of industry resources, the delivering of values and the promotion of the sports industry development as well as evolution.",0.997404933
2167,Sport_and_Leisure.docx@AllSports.docx,"sports information & community
the spread of sports industry, the exertion of its influence, and the interaction between ips and fans have all transferred to mobile internet in large numbers.","sports information & community

the spread of sports industry, the exertion of its influence, and the interaction between ips and fans have all transferred to mobile internet in large numbers.",0.997273922
2179,Sport_and_Leisure.docx@AllSports.docx,"due to the poor structure of incentive mechanism and the fragile relationship between sports communities and their large number of users, it is difficult to integrate two into one single subject, which makes it even more difficult to realize during the business process of intervention into users.","due to the poor structure of incentive mechanism and the fragile relationship between sports communities and their large number of users, it is difficult to integrate two into one single subject, which makes it even more difficult to realise during the business process of intervention into users.",0.997072577
2150,Sport_and_Leisure.docx@AllSports.docx,"athletes, clubs, teams, events, brokerage firms, venues, equipment's, training institutions and media form the perfect and evolving ecosystem chain of sports industry.","athletes, clubs, teams, events, brokerage firms, venues, equipments, training institutions and media form the perfect and evolving ecosystem chain of sports industry.",0.996971488
2197,Sport_and_Leisure.docx@AllSports.docx,"users’ trust in claim payments depends only on the trustworthiness of the banker and the platform, especially when there is a risk at the complex and long-term payment and delivery.","users’ trust in claim payments depends only on the trustworthiness of the banker and the platform, especially when there is a risk at the complex and long-­‐term payment and delivery.",0.996843576
2264,Sport_and_Leisure.docx@AllSports.docx,"network distribution: for worldwide intermediaries, it provides a smart distribution system, including user overview, offline management, commission settings, financial sub-accounts and other functions.","network distribution: for worldwide intermediaries, it provides a smart distribution system, including user overview, offline management, commission settings, financial sub-­‐accounts and other functions.",0.996315777
2279,Sport_and_Leisure.docx@AllSports.docx,"by submitting a smart contract, it specifies basic open-economy rules for the entire platform, addressing the trading and incentive issues in various communities and consumer scenarios on the platform, and ensuring that the ecosystem of the entire platform is open and transparent.","by submitting a smart contract, it specifies basic open-­‐economy rules for the entire platform, addressing the trading and incentive issues in various communities and consumer scenarios on the platform, and ensuring that the ecosystem of the entire platform is open and transparent.",0.996312141
